Document – Sentence Number	Monolingual judge score	Notes
114-6	1	
114-7	1	
114-8	1	
114-9	1	
114-10	1	
114-11	1	
114-12	1	
114-13	1	
115-1	1	
115-2	0	
115-3	1	
115-4	0	
115-5	1	
115-6	0	
115-7	0	
115-8	0	
115-9	1	
116-1	1	
116-2	1	
116-3	0	
116-4	1	
116-5	1	
116-6	1	
116-7	1	
116-8	1	
116-9	1	
116-10	1	
116-11	1	
117-1	1	
117-2	0	
117-3	0	
117-4	1	
117-5	1	
117-6	1	
117-7	0	
117-8	1	
117-9	0	
118-1	0	
118-2	1	
118-3	0	
118-4	1	
118-5	0	
118-6	0	
118-7	1	
118-8	1	
118-9	0	
118-10	0	
118-11	0	
118-12	0	
119-1	1	
119-2	1	
119-3	0	
119-4	1	
119-5	1	
119-6	1	
119-7	1	
119-8	0	
119-9	1	
119-10	1	
119-11	1	
119-12	1	
119-13	1	
119-14	1	
119-15	1	
119-16	0	
119-17	1	
119-18	0	
119-19	0	
119-20	1	
119-21	1	
119-22	1	
119-23	1	
119-24	1	
119-25	1	
119-26	1	
119-27	1	
119-28	0	
119-29	1	
119-30	1	
119-31	1	
119-32	1	
119-33	1	
119-34	1	
119-35	1	
119-36	0	
119-37	1	
119-38	1	
119-39	1	
119-40	0	
119-41	1	
119-42	1	
119-43	1	
119-44	1	
120-1	0	
120-2	0	
120-3	0	
120-4	1	
120-5	0	
120-6	0	
121-1	1	
121-2	1	
121-3	1	
121-4	0	
121-5	0	
121-6	1	
121-7	0	
121-8	0	
121-9	0	
121-10	1	
121-11	1	
121-12	1	
121-13	1	
121-14	1	
121-15	0	
121-16	0	
121-17	0	
121-18	0	
121-19	1	
121-20	1	
121-21	1	
122-1	1	
122-2	1	
122-3	0	
122-4	1	
122-5	0	note: wrong ref?
122-6	0	
122-7	1	
123-1	0	
123-2	0	
123-3	1	
123-4	0	
123-5	0	
123-6	0	
123-7	0	
124-1	1	
124-2	1	
124-3	1	
124-4	1	
124-5	0	
124-6	1	
124-7	1	
124-8	0	
124-9	1	
124-10	1	
124-11	1	
125-1	1	
125-2	1	
125-3	1	
125-4	1	
125-5	0	
125-6	0	
125-7	1	
125-8	0	
125-9	1	
125-10	1	
125-11	1	
125-12	0	
125-13	1	
125-14	0	
125-15	1	
125-16	1	
125-17	1	
125-18	0	
125-19	0	
125-20	0	
125-21	0	
125-22	0	
125-23	0	
125-24	0	
125-25	1	
126-1	1	
126-2	0	
126-3	0	
126-4	0	
127-1	1	
127-2	0	
127-3	0	
127-4	0	
127-5	0	
127-6	0	
127-7	0	
127-8	0	
127-9	0	
127-10	0	
128-1	1	
128-2	1	
128-3	1	
128-4	0	
128-5	0	
128-6	0	
129-1	1	
129-2	1	
129-3	0	
129-4	1	
129-5	0	
129-6	1	
129-7	1	
129-8	1	
129-9	1	
129-10	1	
129-11	0	
129-12	0	
129-13	0	
129-14	1	
130-1	0	
130-2	0	
130-3	0	
130-4	1	
130-5	1	
130-6	1	
130-7	0	
130-8	1	
130-9	1	
130-10	1	
130-11	1	
130-12	0	
130-13	1	
130-14	1	
130-15	0	
130-16	0	
130-17	0	
130-18	1	
130-19	0	
130-20	0	
130-21	1	
130-22	1	
130-23	1	
130-24	1	
130-25	0	
130-26	0	
130-27	1	
130-28	0	
131-1	0	
131-2	0	
131-3	1	
131-4	1	
131-5	0	
131-6	1	
131-7	0	
131-8	0	
131-9	1	
131-10	0	
131-11	1	
131-12	0	
131-13	0	
131-14	0	
131-15	0	
131-16	0	
132-1	0	
132-2	0	
132-3	0	
132-4	0	
132-5	0	
132-6	0	
132-7	0	
132-8	0	
132-9	0	
132-10	0	
132-11	0	
132-12	0	
132-13	0	
132-14	1	
132-15	1	
132-16	1	
132-17	1	
132-18	1	
132-19	0	
133-1	1	
133-2	1	
133-3	0	
133-4	0	
133-5	1	
133-6	1	
134-1	0	
134-2	1	
134-3	0	
134-4	0	
134-5	0	
134-6	0	
134-7	0	
134-8	1	
134-9	0	
134-10	0	
134-11	0	
134-12	0	
134-13	0	
134-14	0	
134-15	1	
134-16	1	
134-17	0	
134-18	0	
134-19	1	
134-20	0	
134-21	0	
134-22	1	
134-23	0	
134-24	0	
134-25	1	
134-26	1	
134-27	1	
134-28	1	
134-29	0	
134-30	1	
135-1	0	
135-2	1	
135-3	0	
135-4	1	
135-5	1	
135-6	0	
135-7	1	
135-8	1	
135-9	1	
135-10	1	
135-11	1	
135-12	1	
136-1	0	
136-2	1	
136-3	0	
136-4	0	
136-5	0	
136-6	1	
136-7	0	
136-8	0	
136-9	0	
136-10	1	
136-11	1	
136-12	1	
136-13	0	
136-14	0	
136-15	1	
136-16	1	
136-17	1	
136-18	1	
137-1	1	
137-2	1	
137-3	1	
137-4	1	
137-5	1	
137-6	1	
137-7	0	
137-8	0	
137-9	0	
138-1	1	
138-2	1	
138-3	0	
138-4	0	
138-5	0	
138-6	0	
138-7	1	
138-8	0	
138-9	0	
138-10	1	
138-11	0	
138-12	0	
138-13	1	
138-14	1	
138-15	0	
138-16	1	
138-17	0	
138-18	0	
138-19	1	
138-20	1	
138-21	1	
138-22	1	
138-23	1	
138-24	1	
138-25	1	
138-26	1	
138-27	1	
138-28	0	
138-29	1	
138-30	0	
138-31	1	
138-32	1	
138-33	1	
138-34	0	
139-1	0	
139-2	0	
139-3	1	
139-4	0	
140-1	1	
140-2	1	
140-3	1	
140-4	1	
140-5	1	
140-6	1	
140-7	0	
141-1	0	
141-2	0	
141-3	0	
141-4	0	
141-5	0	
141-6	1	
141-7	1	
141-8	1	
142-1	1	
142-2	0	
142-3	1	
142-4	1	
142-5	0	
142-6	1	
142-7	0	
142-8	0	
142-9	1	
142-10	1	
142-11	1	
142-12	1	
142-13	0	
143-1	0	
143-2	0	
143-3	0	
143-4	1	
143-5	1	
143-6	1	
143-7	1	
143-8	1	
143-9	1	
143-10	1	
143-11	1	
143-12	1	
143-13	1	
143-14	0	
143-15	1	
143-16	1	
143-17	0	
143-18	1	
143-19	1	
143-20	1	
143-21	1	
143-22	1	
143-23	1	
144-1	1	
144-2	1	
144-3	0	
144-4	1	
144-5	1	
144-6	0	
144-7	0	
144-8	1	
144-9	1	
144-10	0	
144-11	1	
144-12	1	
145-1	0	
145-2	0	
145-3	1	
145-4	1	
145-5	1	
145-6	1	
146-1	1	
146-2	0	
146-3	1	
146-4	1	
146-5	1	
146-6	1	
146-7	1	
146-8	1	
146-9	1	
146-10	0	
146-11	0	
146-12	1	
146-13	1	
146-14	0	
146-15	1	
146-16	1	
146-17	0	
146-18	0	
146-19	1	
146-20	1	
146-21	1	
146-22	1	
146-23	1	
146-24	1	
146-25	1	
146-26	1	
146-27	1	
146-28	1	
146-29	1	
146-30	1	
147-1	1	
147-2	1	
147-3	0	
147-4	0	
147-5	1	
147-6	1	
147-7	1	
147-8	0	
148-1	0	
148-2	0	
148-3	1	
148-4	0	
148-5	0	
148-6	1	
148-7	1	
148-8	1	
148-9	1	
148-10	1	
148-11	0	
148-12	0	
149-1	1	
149-2	1	
149-3	1	
149-4	1	
149-5	1	
149-6	1	
149-7	1	
149-8	0	
149-9	0	
149-10	0	
149-11	1	
149-12	1	
149-13	1	
149-14	1	
149-15	0	
149-16	1	
149-17	1	
149-18	0	
149-19	1	
149-20	1	
149-21	0	
149-22	1	
150-1	1	
150-2	1	
150-3	1	
150-4	0	
150-5	1	
150-6	1	
150-7	1	
150-8	0	
150-9	1	
150-10	1	
150-11	0	
150-12	0	
150-13	1	
150-14	1	
150-15	1	
150-16	1	
150-17	0	
150-18	1	
150-19	1	
150-20	1	
150-21	1	
150-22	1	
150-23	0	
150-24	1	
150-25	1	
150-26	1	
150-27	1	
150-28	1	
150-29	1	
150-30	1	
150-31	1	
150-32	1	
150-33	1	
150-34	1	
150-35	1	
150-36	1	
150-37	0	
150-38	1	
150-39	1	
150-40	1	
150-41	1	
150-42	1	
150-43	1	
150-44	1	
150-45	1	
150-46	1	
150-47	1	
150-48	1	
150-49	0	
150-50	1	
150-51	1	
150-52	1	
150-53	0	
150-54	1	
150-55	1	
150-56	1	
150-57	1	
150-58	0	
150-59	0	
150-60	1	
150-61	0	
150-62	1	
150-63	1	
150-64	1	
150-65	1	
151-1	0	
151-2	1	
151-3	1	
151-4	1	
151-5	0	
151-6	1	
151-7	1	
151-8	0	
151-9	1	
151-10	1	
151-11	1	
151-12	1	
151-13	0	
151-14	1	
151-15	1	
151-16	1	
151-17	1	
151-18	1	
151-19	0	
152-1	1	
152-2	1	
152-3	1	
152-4	1	
152-5	1	
152-6	1	
152-7	1	
152-8	1	
152-9	1	
152-10	1	
152-11	1	
153-1	1	
153-2	0	
153-3	0	
153-4	0	
153-5	1	
153-6	1	
153-7	1	
154-1	1	
154-2	0	
154-3	1	
154-4	0	
154-5	1	
154-6	1	
154-7	1	
154-8	1	
154-9	0	
154-10	1	
154-11	1	
154-12	0	
154-13	1	
154-14	0	
154-15	1	
154-16	1	
154-17	0	
154-18	1	
154-19	1	
154-20	1	
154-21	1	
154-22	1	
154-23	0	
154-24	1	
154-25	0	
154-26	1	
154-27	0	
154-28	0	
154-29	0	
154-30	0	
154-31	0	
154-32	0	
154-33	1	
155-1	1	
155-2	1	
155-3	1	
155-4	1	
155-5	1	
155-6	1	
155-7	0	
155-8	1	
155-9	0	
155-10	1	
155-11	0	
156-1	1	
156-2	1	
156-3	1	
156-4	1	incomplete sentence?
156-5	0	...continued
156-6	1	
156-7	1	
156-8	1	
156-9	1	
156-10	0	
156-11	1	
156-12	1	
156-13	1	
156-14	1	
156-15	1	
156-16	1	
156-17	1	
156-18	1	
156-19	1	
156-20	1	
156-21	1	
156-22	1	
156-23	1	
156-24	1	
156-25	1	
156-26	1	
156-27	1	
156-28	1	
156-29	1	
156-30	1	
156-31	1	
157-1	0	
157-2	0	
157-3	0	
157-4	0	
157-5	1	
157-6	0	
157-7	1	
157-8	0	
157-9	1	
157-10	1	
157-11	1	
157-12	0	
157-13	0	
157-14	1	
157-15	1	
157-16	1	
157-17	0	
157-18	0	
157-19	1	
158-1	0	
158-2	1	
158-3	1	
158-4	1	
158-5	0	
159-1	1	
159-2	0	
159-3	0	
159-4	1	
159-5	1	
159-6	0	
159-7	1	
159-8	1	
159-9	0	
159-10	1	
159-11	0	
159-12	1	
159-13	1	
159-14	1	
159-15	1	
159-16	0	
159-17	1	
159-18	0	
159-19	1	
160-1	0	
160-2	0	
160-3	0	
160-4	1	
160-5	0	
160-6	0	
160-7	0	
160-8	1	
160-9	0	
160-10	0	
160-11	1	
160-12	0	
160-13	0	
160-14	0	
160-15	0	
160-16	1	
160-17	0	
160-18	0	
160-19	0	
160-20	0	
160-21	1	
160-22	0	
160-23	0	
160-24	1	
160-25	0	
160-26	0	
160-27	0	
160-28	0	
160-29	0	
160-30	0	
160-31	0	
160-32	1	
160-33	0	
160-34	0	
160-35	0	
160-36	1	
160-37	0	
160-38	0	
160-39	0	Normalization
160-40	0	
160-41	0	
160-42	0	
160-43	1	
160-44	0	
160-45	0	
160-46	0	
160-47	0	
160-48	1	
160-49	0	
160-50	0	
160-51	0	
160-52	0	
160-53	0	
160-54	0	
160-55	0	
160-56	1	
160-57	0	
160-58	0	
160-59	0	
160-60	0	
160-61	0	
160-62	0	
160-63	0	
160-64	0	
160-65	0	
160-66	0	
160-67	0	
160-68	0	
160-69	0	
160-70	0	
160-71	0	
160-72	0	
160-73	1	
160-74	1	
160-75	1	
160-76	0	
160-77	1	
160-78	0	
160-79	0	
160-80	0	
161-1	1	
161-2	0	
161-3	0	
161-4	0	
161-5	0	
161-6	1	
161-7	0	Chinese chars in output
161-8	0	
161-9	0	
161-10	0	
162-1	1	
162-2	0	
162-3	1	
162-4	0	
162-5	1	
162-6	1	
162-7	0	
162-8	0	
162-9	0	
162-10	0	
163-1	0	
163-2	1	
163-3	0	
163-4	0	
163-5	0	
163-6	0	
163-7	1	
163-8	1	
164-1	0	
164-2	1	
164-3	0	
164-4	1	
164-5	0	
164-6	1	
164-7	0	
164-8	1	
164-9	1	
164-10	1	
164-11	0	
164-12	1	
164-13	0	
164-14	0	
164-15	0	
164-16	0	
164-17	0	
164-18	1	
164-19	1	
164-20	1	
165-1	0	
165-2	1	
165-3	1	
165-4	1	
165-5	1	
165-6	0	
165-7	0	
165-8	1	
165-9	1	
165-10	1	
165-11	1	
165-12	1	
165-13	1	
165-14	1	
165-15	1	
165-16	0	
165-17	1	
165-18	1	
165-19	1	
165-20	1	
165-21	1	
165-22	0	
165-23	1	
165-24	0	
165-25	1	
165-26	1	
165-27	1	
165-28	0	
165-29	0	
165-30	0	
165-31	1	
165-32	1	
165-33	1	
165-34	1	
165-35	0	
165-36	1	
165-37	0	
165-38	0	
166-1	0	
166-2	0	
166-3	1	
166-4	0	
166-5	1	
166-6	1	
166-7	1	
167-1	1	
167-2	1	
167-3	0	
167-4	1	
167-5	0	
168-1	1	
168-2	1	
168-3	1	
168-4	1	
168-5	0	
168-6	1	
168-7	1	
169-1	1	
169-2	0	
169-3	0	
169-4	0	
169-5	1	
169-6	0	
170-1	1	
170-2	0	
170-3	1	
170-4	1	
170-5	1	
170-6	0	
170-7	1	
170-8	0	
170-9	1	
170-10	1	
170-11	0	
171-1	0	
171-2	0	
171-3	1	
171-4	0	
171-5	1	
171-6	0	
171-7	0	
171-8	0	
171-9	1	
171-10	1	
171-11	1	
171-12	0	
171-13	1	
171-14	1	
171-15	1	
171-16	0	
171-17	0	
171-18	0	
171-19	0	
171-20	1	
171-21	0	
172-1	0	
172-2	0	
172-3	0	
172-4	1	
172-5	0	
173-1	1	
173-2	0	
173-3	1	
173-4	1	
173-5	0	
173-6	1	
173-7	1	
173-8	1	
173-9	1	
173-10	1	
173-11	1	
173-12	1	
173-13	1	
173-14	1	
173-15	0	
174-1	1	
174-2	1	
174-3	1	
174-4	1	
174-5	1	
174-6	1	
174-7	1	
174-8	0	
174-9	1	
174-10	0	
174-11	0	
174-12	0	
174-13	0	
174-14	1	
174-15	1	
174-16	1	
174-17	1	
174-18	1	
175-1	0	
175-2	1	
175-3	1	
175-4	1	
175-5	1	
175-6	1	
175-7	1	
175-8	1	
